#{"t_start": 1615205539.1109385}
r,l,t,rew_unnormalized,forces
1.2130188,32.0,16130.405666828156,-4323.239,861.1205
1.2061763,32.0,16142.968187093735,-4409.697,844.1033
1.2202796,32.0,16155.751189231873,-4208.938,834.72845
1.2224563,32.0,16168.56039237976,-4171.2954,847.0831
1.2030022,32.0,16181.30870771408,-4430.426,874.1136
1.2273359,32.0,16194.372148513794,-4089.7698,851.92267
1.209158,32.0,16207.058061122894,-4331.021,829.2067
1.183927,32.0,16219.809607505798,-4669.1035,831.06055
1.2105703,32.0,16232.457565546036,-4297.2427,820.0229
1.1811837,32.0,16245.203823328018,-4691.9937,839.49005
1.1715149,32.0,16257.962815284729,-4816.67,855.9551
1.2054296,32.0,16270.374496936798,-4346.2876,828.9763
1.2308373,32.0,16282.960645198822,-3991.7095,836.4716
1.2176628,32.0,16295.385669231415,-4164.231,826.67096
1.1914248,32.0,16307.927326202393,-4514.7,842.8568
1.1852177,32.0,16320.619034528732,-4592.5293,823.1981
1.1798097,32.0,16333.372980594635,-4658.862,829.4614
1.2169069,32.0,16346.126378297806,-4146.1797,818.9907
1.1723572,32.0,16358.808957576752,-4745.597,858.76984
1.1399673,32.0,16371.575392246246,-5179.793,842.051
1.2287098,32.0,16384.296828508377,-3965.0024,830.2011
1.1763206,32.0,16397.228736162186,-4670.16,863.4869
1.1740849,32.0,16410.299726247787,-4693.4614,852.0493
1.1909463,32.0,16423.297028541565,-4457.461,832.26135
1.2313462,32.0,16436.113549232483,-3901.3948,813.2238
1.1722065,32.0,16448.992144346237,-4697.15,871.25665
1.1776795,32.0,16461.79023528099,-4615.8354,865.2046
1.237947,32.0,16473.872490167618,-3790.9497,841.8752
1.1890116,32.0,16486.468687295914,-4447.1885,821.54877
1.104798,32.0,16499.207272529602,-5581.781,868.5828
1.1437204,32.0,16511.874247789383,-5047.9824,889.4503
1.1671776,32.0,16524.579008340836,-4723.254,839.44635
1.2299747,32.0,16537.296230316162,-3866.3496,814.034
1.2199278,32.0,16550.22684955597,-3994.7678,823.1043
1.2536167,32.0,16563.100268363953,-3531.979,809.818
1.1352832,32.0,16575.861078977585,-5124.344,844.5039
1.2053264,32.0,16588.688100099564,-4171.1646,823.2882
1.0850496,32.0,16601.41817522049,-5788.615,810.7103
1.182949,32.0,16613.895895004272,-4460.1924,823.9677
1.2033813,32.0,16626.865490198135,-4177.532,820.25085
1.1991462,32.0,16639.955277442932,-4227.68,827.127
1.2024508,32.0,16652.6167345047,-4176.0195,848.3938
1.1653918,32.0,16665.214919805527,-4668.496,823.6932
1.2121774,32.0,16677.255841970444,-4031.3591,831.43787
1.1659427,32.0,16689.760181427002,-4647.0874,838.82446
1.2092316,32.0,16701.82111811638,-4057.485,815.0427
1.1965519,32.0,16713.8151576519,-4220.709,830.37103
1.1812546,32.0,16725.773224830627,-4419.794,863.9151
1.2113976,32.0,16738.4322617054,-4007.6372,850.4972
1.1844453,32.0,16751.335438013077,-4362.8857,851.2114
1.2157241,32.0,16764.05987048149,-3935.5803,822.66064
0.6989645,32.0,16776.626339912415,-10866.656,850.97296
1.202839,32.0,16789.282397031784,-4097.3794,819.57336
1.1972435,32.0,16801.88738322258,-4165.525,835.3522
1.2237544,32.0,16814.490894556046,-3802.8955,850.521
1.2074014,32.0,16827.22465491295,-4015.1016,853.8381
1.154827,32.0,16839.755789279938,-4712.603,832.54095
1.1433586,32.0,16852.386780261993,-4859.6465,826.2015
1.2444718,32.0,16864.384860754013,-3499.105,786.93
1.1123772,32.0,16876.446550369263,-5260.594,841.5909
1.1381149,32.0,16889.27114057541,-4909.502,852.74274
1.1682103,32.0,16901.45306301117,-4500.2964,861.34076
1.1966314,32.0,16914.302927970886,-4113.679,835.5226
1.2055894,32.0,16927.13274216652,-3987.2,867.6404
1.178052,32.0,16939.555703401566,-4348.3296,845.48553
1.1700591,32.0,16952.246750593185,-4447.967,827.2749
1.1655862,32.0,16964.940683841705,-4501.2627,842.3133
1.1872977,32.0,16977.631447076797,-4205.0205,811.7079
1.180292,32.0,16990.35669016838,-4291.809,829.3636
1.1688361,32.0,17003.224105119705,-4437.365,850.31696
1.1989694,32.0,17015.97829270363,-4029.5378,819.91907
1.1553406,32.0,17028.517718553543,-4603.9224,838.06464
1.1634388,32.0,17040.964433908463,-4489.504,832.9581
1.1702743,32.0,17054.088173866272,-4392.0396,822.1531
1.1256121,32.0,17066.925219774246,-4979.7715,817.6133
1.2139496,32.0,17080.000796556473,-3798.4163,788.06085
1.1715144,32.0,17092.91298532486,-4355.6797,800.5079
0.94831854,32.0,17105.667618751526,-7314.2485,825.32623
1.166848,32.0,17118.63885164261,-4405.695,822.01166
1.1813501,32.0,17131.417476415634,-4206.5693,825.42834
1.129733,32.0,17144.319061279297,-4885.3545,823.2544
1.1497921,32.0,17156.67879128456,-4612.2925,817.9025
1.0715462,32.0,17169.352968931198,-5644.3105,829.3162
1.1760676,32.0,17182.026292085648,-4252.3496,815.47485
1.103495,32.0,17194.730461597443,-5207.6333,807.11383
